val_loss,val_acc,epoch,step,test_loss,test_acc
0.30007585883140564,0.9132000207901001,0,859,,
0.23731118440628052,0.930400013923645,1,1719,,
0.19866898655891418,0.9391999840736389,2,2579,,
,,2,2580,0.18427906930446625,0.9437999725341797
